"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ДЕЛИКАТЕСЕН ВАКУУМ","1053","28","10.69","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ПЪЛДИН ВАКУУМ","1055","28","7.11","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ШПЕК ЗЛ. СЕЛ. ВАКУУМ","1056","28","9.66","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","БОЛЯРСКИ ШПЕК ВАКУУМ","1057","28","9.15","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","БУРГАС ЗЛ.СЕЛ.ВАКУУМ","1058","28","10.17","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","НОВОСЕЛСКИ ШПЕК/ВАКУУМ/","1059","28","9.31","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРЕНЕ СЪЕДИНЕНИЕ КРАВЕ ","4501","8","11.12","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРЕНЕ КРАВЕ САДОВО 300г","4514","9","2.40","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРЕНЕ КРАВЕ САДОВО 400г","4516","9","3.43","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРЕНЕ КРАВЕ ВИЛАРА 200г","4535","9","2.35","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРЕНЕ КРАВЕ МАДЖАРОВ 700гр/бр","4542","9","9.00","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРЕНЕ КРАВЕ ФЕРМЕРСКО 200г","4563","9","2.40","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРЕНЕ КРАВЕ САЯНА 400г","4572","9","3.37","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРЕНЕ КРАВЕ САЯНА БДС 400г","4574","9","3.73","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРЕНЕ КРАВЕ ЕЛИТ","4582","8","8.05","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ ДОМЛЯН ЗА ЦЕНИТЕЛИ","4601","11","8.28","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ ДЕЛЬО ","4605","10","13.42","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ ДЕЛЬО 500г","4606","10","13.24","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ РОДОПЧАНКА ","4611","11","12.48","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ КРАВЕ МЕЧИ ЧАЛ","4612","10","11.50","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ САЯНА 200г","4624","11","2.51","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ ЗАНА САКАРЕЛА 200г","4643","11","2.56","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ КРАВЕ РЕВАНСКИ","4644","11","2.51","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ МАДЖАРОВ 380г","4652","11","7.49","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ МАДЖАРОВ 200г","4653","11","4.91","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ МЕРОНЕ 300г","4671","11","2.45","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ ЕЛИТ","4673","10","11.25","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ САЯНА 400г","4685","11","4.70","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ КРАВЕ  САКАРЕЛА ","4686","11","2.56","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАШКАВАЛ КРАВЕ С ТРЮФЕЛ 200г","4699","11","7.98","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","МАСЛИНИ БЕТА ТОЧКА","4801","62","4.29","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","МАСЛИНИ БЕТА НАТУРАЛНИ","4802","62","5.16","0"
