"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","КРАВЕ МАСЛО СМЕТАНОВО 190 ГР МЛЕЧНА ПЛАНЕТА","040040","12","4.60",""
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","ДАТСКО КРАВЕ МАСЛО 200 ГР LURPAK","040041","12","4.09",""
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","КРАВЕ МАСЛО 200 ГР САКАРЕЛА","040042","12","3.47",""
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","КРАВЕ МАСЛО 82% 200 ГР ОЛИМПУС","040045","12","4.85",""
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","ФРЕНСКО КРАВЕ МАСЛО 250 ГР МОНАРХ","040050","12","4.59","2.99"
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","КРАВЕ МАСЛО 82% ДВЕТЕ КРАВИ 250 ГР DEUTSCHE MARKENBUTTER","040051","12","3.29",""
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","КРАВЕ МАСЛО 82% 250 ГР КРАВАРКАТА DEUTSCHE MARKENBUTTER","040052","12","3.99",""
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","КРАВЕ МАСЛО 82% 250 ГР МЛЕКАРКАТА","040054","12","3.19","1.89"
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","НЕМСКО КРАВЕ МАСЛО 82% 250 ГР РОСТАР","040055","12","3.19",""
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","КРАВЕ МАСЛО 82% 125 ГР DEUTSCHE MARKENBUTTER","040060","12","2.14","1.33"
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","ФРЕНСКО МАСЛО ПОЛУСОЛЕНО BARATTE 82% 250 ГР ЕЛЕВИР РОЛКА","040061","12","6.13",""
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","КРАВЕ МАСЛО 82% 250 ГР DEUTSCHE MARKENBUTTER МИЛКИ","040062","12","4.09","2.19"
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","НЕМСКО КРАВЕ МАСЛО 82% 125 ГР РОСТАР","040066","12","1.89",""
"68134","МАГАЗИН МЛАДОСТ - СОФИЯ, ЖК МЛАДОСТ 2, БУЛ. АЛЕКСАНДЪР МАЛИНОВ 75","КРАВЕ МАСЛО 250 ГР ЛЕСИДРЕН","040067","12","4.59","3.29"
