"Населено място","Търговски обект","Наименование на продукта","Код на продукта",Категория,"Цена на дребно","Цена в промоция"
68134,1,"Кафе на зърна Lavazza Crema e Aroma, 1 кг",D0NCZZBBM,71,23.99,
68134,1,"Паста за зъби Sensodyne Repair and Protect Whitening, 75 мл",D5N0R3BBM,81,6.33,
68134,1,"Кафе на зърна Fort 1 кг",D6R46NBBM,71,21.98,
68134,1,"Паста за зъби Elgydium Kids, С вкус на горски плодове, 3-6 години, 50 мл",D7GX03MBM,81,4.59,
68134,1,"Кафе на зърна Lavazza Gold Selection, 1 кг",D8BTRGBBM,71,46.01,
68134,1,"Паста за зъби Colgate Advanced White Pump, 100 мл",DB56ZYMBM,81,5.61,
68134,1,"Кафе на зърна Jacobs Barista Editions Crema, 1 кг",DVFK4QBBM,71,26.33,
68134,1,"Паста за зъби Colgate Advanced White, Избелваща, 100 мл",DY56ZYMBM,81,3.31,
