"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"11538","гр.Свети Влас местност ЮРТА","Спагети BARILLA №5 500гр","6353","37","1.71",""
"11538","гр.Свети Влас местност ЮРТА","Сирене БОР ЧВОР краве","6425","8","5.75",""
"11538","гр.Свети Влас местност ЮРТА","Кашкавал САКАРЕЛА краве 200гр","6820","11","2.63",""
"11538","гр.Свети Влас местност ЮРТА","Кашкавал САКАРЕЛА краве","6867","10","10.17",""
"11538","гр.Свети Влас местност ЮРТА","Чай Хербс куркума 20бр","7039","72","0.97",""
"11538","гр.Свети Влас местност ЮРТА","Чай Хербс шипка 20бр","7041","72","0.97",""
"11538","гр.Свети Влас местност ЮРТА","Сол ПЕРЛА 1кг","7106","39","0.51",""
"11538","гр.Свети Влас местност ЮРТА","Боб АРТЕ селект 1кг","7287","33","3.01",""
"11538","гр.Свети Влас местност ЮРТА","Кашкавал НАБОРЪ краве 200гр","7315","11","2.50",""
"11538","гр.Свети Влас местност ЮРТА","Салам МАЛЕВЕНТУМ шпек метър","7379","28","6.88",""
"11538","гр.Свети Влас местност ЮРТА","Кафе НБ класик мляно 200гр","7500","70","4.09",""
"11538","гр.Свети Влас местност ЮРТА","Кренвирш ФЕРМАТА пилешки","7548","26","3.63",""
"11538","гр.Свети Влас местност ЮРТА","Шоколад СВОГЕ млечен 80гр","7670","69","1.27",""
"11538","гр.Свети Влас местност ЮРТА","Шоколад МЛЕЧЕН 80гр","7695","69","1.22",""
"11538","гр.Свети Влас местност ЮРТА","Сапун ТЕО Bouquet Fresh 70гр","7720","83","0.46",""
"11538","гр.Свети Влас местност ЮРТА","Сапун ТЕО Bouquet Romantic 70гр","7724","83","0.46",""
"11538","гр.Свети Влас местност ЮРТА","Сапун ТЕО Bouquet Mystic 70гр","7730","83","0.46",""
"11538","гр.Свети Влас местност ЮРТА","Сапун ТЕО Bouquet Exotic 70гр","7731","83","0.46",""
"11538","гр.Свети Влас местност ЮРТА","Тоал.хартия ЕМЕКА paradise 8бр","7733","85","2.60",""
"11538","гр.Свети Влас местност ЮРТА","Тоал.хартия ЕМЕКА mountain fresh 8бр","7735","85","2.60",""
"11538","гр.Свети Влас местност ЮРТА","Тоал.хартия ЕМЕКА ocean breeze 8бр","7736","85","2.60",""
"11538","гр.Свети Влас местност ЮРТА","Кроасан LOTTO шампанско 110гр","7815","67","0.76",""
