"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ФУРОТАЛГИН СОЛ 5МЛ","3008","101","5.87","5.87"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ТАЛЦИД ПРИ СТОМАШНИ КИСЕЛИНИ И РЕФЛУКС 500МГ Х 20 **","3211","86","4.39","4.39"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Спирт Етилов 95% 0.800г./1л., Chemax","3319","92","5.36","5.36"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ФРИЗО | FRISO 2 400Г 6-12М (ФРИЗОМЕЛ)","3352","65","9.56","9.56"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ФРИЗОВОМ | FRISOVOM 400ГР","4002","65","12.93","12.93"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ФРИЗО ПРЕМАТЮР | FRISO PREMATURE 400МЛ","4089","65","14.67","14.67"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Бабини зъби, филтър х 20 броя, Bioprogramme","4478","72","1.12","1.12"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Йодсептадон 10% 100мл., Chemax","5708","92","2.3","2.3"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Aptamil 1 Comfort Мляко при колики и запек от 0 до 6 месец 400г.","5770","65","14.72","14.72"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","EVELIN ЧАЙ УСПОКОИТЕЛЕН Х 20","6425","72","2.19","2.19"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","НУРОФЕН ЗА ДЕЦА ПОРТОКАЛ 100МГ/5МЛ 100МЛ","37241","94","4.6","4.6"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Диалгин 1000мг., сашета х 20, Chemax","37358","96","8.02","8.02"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","АЦЕТИЗАЛ ПРИ БОЛКА И ГРИПНИ СЪСТОЯНИЯ 500МГ Х 20 **","7538","96","1.53","1.53"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ДИКЛАК МАКС ГЕЛ 5% 50Г **","8035","95","7.41","7.41"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","БИЗАКОДИЛ СУП 10МГ Х 6","8051","88","3.22","3.22"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Sensodyne Fluoride Паста за зъби 75мл.","8134","81","5.47","4.1"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Parodontax Fluoride паста за зъби 75мл.","8185","81","5.47","5.47"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","БИЗАКОДИЛ СУП 5МГ Х 6","8493","88","2.4","2.4"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","НУРОФЕН ТБ 200МГ Х 12","8504","94","3.57","3.57"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","АЛМАГЕЛ А СУСПЕНЗИЯ ПРИ КИСЕЛИНИ 170МЛ","11862","86","4.03","4.03"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","АЛМАГЕЛ СУСПЕНЗИЯ ПРИ КИСЕЛИНИ 170МЛ","11863","86","2.7","2.7"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ЧАЙ ЗА ОТСЛАБВАНЕ САНИЕ СИЛЕН Х 30 ТНТ 181682","13325","72","3.57","3.57"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Aquafresh Little Teeth Паста за зъби детска 0-5г 50мл.","13481","81","3.57","2.86"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ДУЛКОЛАКС ПИКО КАПКИ 15МЛ **","13531","88","6.03","5.43"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Мента, филтър х 20 броя, Bioprogramme","13812","72","0.86","0.86"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Добро утро, филтър х 20 броя, Bioprogramme","13814","72","0.81","0.81"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Мащерка, филтър х 20 броя, Bioprogramme","13815","72","1.02","1.02"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Лайка, филтър х 20 броя, Bioprogramme","13818","72","0.86","0.86"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Сена-Майчин лист, филтър х 20 броя, Bioprogramme","13821","72","0.86","0.86"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Мечо грозде, филтър х20 броя, Bioprogramme","13822","72","0.92","0.92"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Шипка, филтър х 20 броя, Bioprogramme","13823","72","0.97","0.97"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","EVELIN ЧАЙ БЕБЕЗАН ЗА БЕБЕТА ФИЛТЪР Х 20","13831","72","2.19","2.19"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Hipp 6530 BIO пюре с моркови, ориз и пуешко месо, след 8 месеца 220г.","14311","64","2.45","2.45"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Hipp 4800 BIO пълнозърнеста каша с плодове, след 6 месеца 190г.","14324","63","1.8900000000000001","1.7"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Липов цвят, филтър х 20 броя, Bioprogramme","15189","72","2.09","2.09"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Жълт кантарион, филтър х 20 броя, Bioprogramme","15190","72","0.81","0.81"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Hipp 4070 BIO пюре различни зеленчуци, след 4 месеца 190г.","15746","64","2.24","2.02"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Зелен, филтър х 20 броя, Bioprogramme","15760","72","0.81","0.81"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Aptamil 2 Comfort Мляко при колики и запек над 6 месец 400г.","16150","65","14.72","14.72"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Hipp 6413 BIO пюре с зеленчуци, ориз и телешко месо, след 8 месеца 220г.","16703","64","2.45","2.45"
