"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,ВОДА ГОРНА БАНЯ ТОЧКА 1.5Л МИНЕРАЛНА /5611/","006837","73","0.65",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",БИСКВИТИ ИЗГРЕВ 120ГР ОБИКНОВЕНИ","007024","66","0.76",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",БИСКВИТИ ИЗГРЕВ 182ГР ОБИКНОВЕНИ","007170","66","1.02",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШОКОЛАД МИЛКА 90ГР МЛЕЧЕН","007263","69","2.81","1.94"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШОКОЛАД МИЛКА 90ГР СТАФИДИ И ЛЕШНИЦИ","007266","69","2.96","1.98"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШОКОЛАД МИЛКА 95ГР ЦЯЛ ЛЕШНИК","007268","69","2.96","1.94"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШОКОЛАД КИНДЕР 100ГР ОСМИЦА","007293","69","2.04",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КРОАСАН 7 ДЕЙС 60ГР ЧИПИКАО","007830","67","0.97",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЧАЙ БИОПРОГРАМА 20БР ЛАЙКА","009032","72","1.17",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЧАЙ БИОПРОГРАМА 20БР ШИПКА","009033","72","1.27",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЧАЙ БИОПРОГРАМА 20БР ЛИПОВ ЦВЯТ","009034","72","2.81",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КАФЕ ЯКОБС 250ГР МОНАРХ КЛАСИК","009074","70","8.18",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КАФЕ ЛАВАЦА 250ГР МЛЯНО ВАКУУМ КРЕМА Е ГУСТО","009128","70","7.66",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КАФЕ ЛАВАЦА 250ГР МЛЯНО ВАКУУМ КУАЛИТА РОСА","009131","70","8.99",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЧАЙ БИОПРОГРАМА 20БР МЕНТА","009159","72","1.17",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КАФЕ ЯКОБС 250ГР МОНАРХ ЕСПРЕСО ИНТЕНЗ","009235","70","8.18",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КАФЕ ЧИБО 250ГР ЕСПРЕСО МИЛАНО СТИЛ","009481","70","7.31","6.03"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КАФЕ ЛАВАЦА 250ГР МЛЯНО ВАКУУМ КУАЛИТА ОРО","009495","70","9.35",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КАФЕ ЧИБО 250ГР ЕСПРЕСО СИЦИЛИАН СТИЛ","009496","70","7.31","6.03"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ МАТОЧИНА","009875","72","0.97",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАКАРОНИ СТЕЛА 500ГР ПЕНЕС","010024","36","1.53",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАКАРОНИ БАРИЛА 500ГР ФУСИЛИ","010041","36","1.89",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,БРАШНО СОФИЯ МЕЛ 1КГ ЕКСТРА","010060","41","1.27","1.02"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ОЦЕТ КУЛИНАР 700МЛ ВИНЕН /2259/","010081","44","1.32",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",СПАГЕТИ БАРИЛА 500ГР N3","010119","37","1.89",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАКАРОНИ ЗЛ КЛАС 400ГР ОХЛЮВИ","010132","36","0.71",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАКАРОНИ МЕЛИСА 500ГР ПЕНЕ РИГАТЕ","010159","36","1.78",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",СПАГЕТИ СТЕЛА 500ГР N10","010250","37","1.53",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАКАРОНИ ДЕРОНИ 400ГР КЛ ФУСИЛИ","010323","36","1.07",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАКАРОНИ БАРИЛА 500ГР ТОРТИЛЬОНИ","010364","36","1.89",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАКАРОНИ ДЕРОНИ 400ГР КЛ ПЕНЕ РИГАТЕ","010463","36","1.07",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАКАРОНИ ЗЛ КЛАС 400ГР ТРЪБИЧКИ","010489","36","0.71",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАКАРОНИ ЗЛ КЛАС 400ГР СПИРАЛИ","010491","36","0.71",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,БРАШНО СОФИЯ МЕЛ 1КГ КЛАСИК","010547","40","1.22","0.97"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",СПАГЕТИ БАРИЛА 500ГР N5","010692","37","1.89",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,ОЛИО ДОБРУДЖА 1Л","010706","42","1.84",""
